Nama Kegiatan,Tanggal Mulai,Tanggal Selesai,Durasi (Hari)
Pertemuan dengan Kepala Sekolah,2025-04-01,2025-04-01,0
Surat Izin Orang Tua,2025-04-02,2025-04-05,3
Rekrutmen Petugas Kesehatan,2025-04-03,2025-04-08,5
Pelatihan Petugas Skrining,2025-04-06,2025-04-10,4
Persiapan Alat Skrining,2025-04-09,2025-04-12,3
Skrining TB Hari 1 - Kelas X,2025-04-13,2025-04-13,0
Skrining TB Hari 2 - Kelas XI,2025-04-14,2025-04-14,0
Skrining TB Hari 3 - Kelas XII,2025-04-15,2025-04-15,0
Pemeriksaan Dokter untuk Kasus Suspek,2025-04-16,2025-04-18,2
Konseling Siswa Positif TB,2025-04-19,2025-04-20,1
Koordinasi dengan Puskesmas,2025-04-21,2025-04-22,1
Entry Data & Analisis Hasil,2025-04-23,2025-04-28,5
Laporan ke Dinas Kesehatan,2025-04-29,2025-04-30,1
